"","gene_id","symbol","logFC","logCPM","F","PValue","KO1","KO2","WT1","WT2"
"182","19329","Rab17",7.35652023080901,0.0458044339608401,28.8555236110402,7.93296823469686e-08,1.65335105349651,1.65340995629162,0,0
"183","19332","Rab20",1.60130350362461,2.50228907948424,29.8055471680103,4.86408947078347e-08,8.26675526748254,7.97950022384215,3.03092839013482,2.34582368647042
"184","19415","Rasal1",-2.16363316964563,3.64277649202768,104.213128829431,2.24625524035777e-24,4.71205050246505,4.45701814304697,20.3898818972706,20.7079608184975
"185","19679","Pitpnm2",-1.52477424461903,3.67630994557152,57.0885682267626,4.44513682045438e-14,6.03473134526226,7.11685155099435,20.7572671566809,17.39145146866
"186","19736","Rgs4",1.53701610044608,4.8821590728966,102.831765642797,4.486055412074e-24,46.872502366626,39.8256137298068,14.4198714318535,15.2882991980314
"187","19766","Ripk1",1.50163655398942,4.15672715817544,68.9243168053757,1.12384301496706e-16,25.2962711184966,26.3107845218579,8.90909254069931,9.30240427393443
"188","19782","Rmrp",5.4059581349498,4.31269073484393,441.365383659847,2.18249501384237e-96,47.8645129987239,28.1079692569575,0.551077889115421,1.13246660726158
"189","19791","Rn18s",4.52639946811128,9.74746425084825,1592.49472762525,0,1706.75429252445,1585.40448591545,70.4461234919213,72.2351914488995
"190","19817","Rn7sk",3.47848967505586,3.79349425856639,216.641930078841,1.20499773330241e-48,29.842986515612,19.6252573072875,2.93908207528225,1.53691896699786
"191","19933","Rpl21",-1.94971567754799,3.59932113126144,84.6300468193517,4.14095199641758e-20,5.62139358188813,4.38513075364299,16.8078756180203,21.7595369538118
"192","20195","S100a11",2.0357258888121,4.68124033971795,153.537541710857,4.61432316766993e-35,43.8964704703323,37.3095551006674,9.82755568922501,9.86863757756522
"193","20204","Prrx2",4.24460749765665,1.02712475947451,41.116951074063,1.48358130634833e-10,3.22403455431819,3.59436947019917,0.0918463148525702,0.242671415841768
"194","20256","Clec11a",1.52505042826811,3.29973118739087,45.239949166594,1.81622091861327e-11,13.722813744021,14.5212526596046,5.87816415056449,4.0445235973628
"195","20265","Scn1a",-4.12149239573385,0.666646931856943,33.3905165936463,7.71231939512016e-09,0.0826675526748254,0.21566216821195,1.56138735249369,3.96363312541554
"196","20269","Scn3a",-1.57618241772886,3.35801346395542,51.1891427323994,8.83867696455618e-13,4.38138029176575,5.89476593112664,14.9709493209689,15.6927515577676
"197","20287","Sct",-2.46304213409849,4.20271677245498,171.396532083249,6.46746100785749e-39,5.78672868723778,5.6072163735107,31.411439679579,31.4663935874826
"198","20296","Ccl2",6.9476945073038,5.84606085776501,1147.24905076405,4.73271291304468e-241,116.891919482203,108.406183221207,0.367385259410281,1.37513802310335
